decision_month,decision_date,ranking_window,rank,Ticker,momentum_3m,momentum_4m,momentum_5m,momentum_6m,momentum_7m
2026-01,2026-01-02,6,9,GOOG,0.2850279230123103,0.48972939385789105,0.6625836735917077,0.7851322221396646,0.8558863417045488
2026-01,2026-01-02,6,10,INTC,0.09571515227743488,0.6266006839038678,1.0393579573925367,0.723413584712697,0.9949342211104073
2025-12,2025-12-01,4,1,MU,1.0308119412571561,1.2941513292791083,0.9922001369353721,1.4530155975422812,2.096786469793674
2025-12,2025-12-01,4,2,INTC,0.6526228762723931,1.0719833986582974,0.7509845800256278,1.0268489759595805,1.002502464374679
2025-12,2025-12-01,4,3,WBD,1.0542169599242577,0.8547009364014821,1.1819014401092942,1.3870000839233398,1.83155397095038
2025-12,2025-12-01,4,4,GOOGL,0.4912310145535299,0.6664287133082758,0.7923776971818459,0.8668474265822217,0.9563123293739768
2025-12,2025-12-01,4,5,GOOG,0.4878136211583306,0.6604456125279103,0.7828365652301743,0.8534996959139887,0.9398043660247961
2025-12,2025-12-01,4,6,APP,0.2944803367734685,0.6446185214335736,0.8521192263913193,0.5515663237378099,1.2311712356229214
2025-12,2025-12-01,4,7,LRCX,0.5984298124687102,0.6093767774501995,0.6020622162715201,0.8850819095856921,1.1675943835211067
2025-12,2025-12-01,4,8,ASML,0.5015778811927991,0.5800066497203755,0.38232320064546066,0.46368520087765,0.638896300667503
2025-12,2025-12-01,4,9,AMAT,0.6199109067322057,0.42219513978058276,0.3930175961161655,0.6276525053438846,0.7233402868660808
2025-12,2025-12-01,4,10,TSLA,0.3059874720036233,0.4213396150689048,0.4304147746041702,0.2551869374187057,0.5333667171485363
2025-12,2025-12-01,5,1,WBD,1.0542169599242577,0.8547009364014821,1.1819014401092942,1.3870000839233398,1.83155397095038
2025-12,2025-12-01,5,2,MU,1.0308119412571561,1.2941513292791083,0.9922001369353721,1.4530155975422812,2.096786469793674
2025-12,2025-12-01,5,3,APP,0.2944803367734685,0.6446185214335736,0.8521192263913193,0.5515663237378099,1.2311712356229214
2025-12,2025-12-01,5,4,GOOGL,0.4912310145535299,0.6664287133082758,0.7923776971818459,0.8668474265822217,0.9563123293739768
2025-12,2025-12-01,5,5,GOOG,0.4878136211583306,0.6604456125279103,0.7828365652301743,0.8534996959139887,0.9398043660247961
2025-12,2025-12-01,5,6,INTC,0.6526228762723931,1.0719833986582974,0.7509845800256278,1.0268489759595805,1.002502464374679
2025-12,2025-12-01,5,7,AMD,0.35386880600545023,0.27990680496681164,0.6145763979235672,0.9171246599701313,1.2737712471529892
2025-12,2025-12-01,5,8,LRCX,0.5984298124687102,0.6093767774501995,0.6020622162715201,0.8850819095856921,1.1675943835211067
2025-12,2025-12-01,5,9,AVGO,0.29674578865190293,0.3398747092453587,0.4608351234919126,0.5586496704682133,0.9644844069429066
2025-12,2025-12-01,5,10,TSLA,0.3059874720036233,0.4213396150689048,0.4304147746041702,0.2551869374187057,0.5333667171485363
2025-12,2025-12-01,6,1,MU,1.0308119412571561,1.2941513292791083,0.9922001369353721,1.4530155975422812,2.096786469793674
2025-12,2025-12-01,6,2,WBD,1.0542169599242577,0.8547009364014821,1.1819014401092942,1.3870000839233398,1.83155397095038
2025-12,2025-12-01,6,3,INTC,0.6526228762723931,1.0719833986582974,0.7509845800256278,1.0268489759595805,1.002502464374679
2025-12,2025-12-01,6,4,AMD,0.35386880600545023,0.27990680496681164,0.6145763979235672,0.9171246599701313,1.2737712471529892
2025-12,2025-12-01,6,5,LRCX,0.5984298124687102,0.6093767774501995,0.6020622162715201,0.8850819095856921,1.1675943835211067
2025-12,2025-12-01,6,6,GOOGL,0.4912310145535299,0.6664287133082758,0.7923776971818459,0.8668474265822217,0.9563123293739768
2025-12,2025-12-01,6,7,GOOG,0.4878136211583306,0.6604456125279103,0.7828365652301743,0.8534996959139887,0.9398043660247961
2025-12,2025-12-01,6,8,AMAT,0.6199109067322057,0.42219513978058276,0.3930175961161655,0.6276525053438846,0.7233402868660808
2025-12,2025-12-01,6,9,AVGO,0.29674578865190293,0.3398747092453587,0.4608351234919126,0.5586496704682133,0.9644844069429066
2025-12,2025-12-01,6,10,APP,0.2944803367734685,0.6446185214335736,0.8521192263913193,0.5515663237378099,1.2311712356229214
2025-11,2025-11-03,4,1,WBD,0.7319348184717602,1.0374773099165306,1.2290000915527344,1.6441281267619785,1.183153852325821
